moldb_smiles,DRUG
,CYT006-AngQb
FC1=C(C=CC(=C1)C#N)[C@H]1CCC2=CN=CN12,Osilodrostat
O[C@@H]1CCCC[C@H]1N(C1CC1)C(=O)NCCCOC1=CC=C2NC(=O)C=CC2=C1,K-134
[H][C@@](CC1=CN=CN1)(NC(=O)[C@]1([H])CCC(=O)N1)C(=O)N1CCC[C@@]1([H])C(N)=O,Protirelin
[H]C(Cl)(Br)C(F)(F)F,Halothane
,Phleum pratense pollen
[H]C(=O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,Galactose
,MF101
CN1C(N)=NC2=NC=C(C=C12)C1=CC=CC=C1,"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine"
,CAD106
CN(CC(O)CO)C(=O)C1=C(I)C(C(=O)N(C)CC(O)CO)=C(I)C(N=C(O)C(CO)CO)=C1I,Iobitridol
CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O,Methohexital
,BL-1020
FC1=CC=CC=C1C1=NC2=CN(CC3=CC=C(N=N3)C3=CC=C(C=C3C(F)(F)F)C(F)(F)F)C=CC2=N1,Tegobuvir
O[As](O)O,Arsenous acid
CC(C[N+](C)(C)C)OC(N)=O,Bethanechol
[H][C@@]1(CN(CCN1S(=O)(=O)C1=CC=C(C=C1)C(F)(F)F)C1=NC2=NC(=NC=C2S1)C1CC1)C(O)=NCC1=CC(F)=C(OC(F)(F)F)C=C1,JTK-853
[H][C@]12SCC(\C=C/C3=C(C)N=CS3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,Cefditoren
,Landogrozumab
[H][C@@]12CN(CN1C1=C(NC2)N=C(N)NC1=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,Modufolin
COC1=CC2=C(C(=O)N=C(N2)C2=CC(C)=C(OCCO)C(C)=C2)C(OC)=C1,Apabetalone
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,Cholesterol
O[C@H](CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OCCCCO[N+]([O-])=O)CCC1=CC=CC=C1,Latanoprostene Bunod
CC(O)=NC1=CC=C(C=C1)S(Cl)(=O)=O,N-acetylsulfanilyl chloride
COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC2=CC=C(C=C2N1)C1=CSC2=C1SC=C2C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)OC)C1=CC=CC=C1,Samatasvir
CCN(CC)CCN1CCC2=C(C(C)=C(N2)\C=C2/C(=O)NC3=CC=C(F)C=C23)C1=O,Famitinib
CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1,Amlexanox
,Peanut
O=N(=O)C1=CN=CN1CCN1CCOCC1,Nimorazole
OCC(O)=O,Glycolic acid
FC1=CC(F)=C2OC[C@@H](CC2=C1)N1C(=S)NC=C1CCNCC1=CC=CC=C1,Zamicastat
,Tuberculin Purified Protein Derivative
CCCCOC(=O)C(=C)C#N,Enbucrilate
,Lipegfilgrastim
COC1=C(OC)C=C(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)C(Br)=C1,Pinaverium
,Andexanet alfa
CC1=NC2=C(C=C(C=C2N1CC1=C(C)C(=CC=C1)C(F)(F)F)N1CCOCC1)C(O)=O,GSK-2636771
OC1=CC(=C(O)C=C1)S(O)(=O)=O,Dobesilic acid
,Forigerimod
,Paclitaxel trevatide
,Influenza a virus a/hong kong/4801/2014 (h3n2) recombinant hemagglutinin antigen
CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C(COCC)=C1)C1=CC=CC=C1S(=O)(=O)NC1=NOC(C)=C1C,Sparsentan
CC(C)NC1=NC2=CC(Cl)=C(Cl)C=C2N1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,Maribavir
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(O)C(=C1)C(O)=O,Olsalazine
,INGN 201
,liposomal prostaglandin E1
OC=O,Formic acid
,SGN-30
COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1,Darusentan
CCOC(=O)COC1=CC=C2CC[C@@H](CC2=C1)NC[C@H](O)C1=CC=CC(Cl)=C1,Amibegron
CCC1=C(N(N=C1C(O)=NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Br)C=C1,Surinabant
CC(=O)NC1=CC=CC(=C1)N1CCN(CCCCNS(=O)(=O)CC2CCCCC2)CC1,Naluzotan
[Cl-].[Fe+3].CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C([N-]4)/C=C4\N=C(\C=C\1/[N-]\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O,Hemin
OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,Biperiden
CCCCCCCOC(=O)NC1=NC(=O)N(CN1)[C@H]1C[C@H](O)[C@@H](CO)O1,KP-1461
CN1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2,5-methyltetrahydrofolic acid
[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O,Bismuth subcitrate potassium
,Tigapotide
CC(C)(CC1=CC=CC(CC(=O)NCC2=CC=CC(=C2)C2=CC=C(O)C=C2)=C1)NC[C@H](O)C1=CC=C(O)C(NS(C)(=O)=O)=C1,PF-00610355
COC1=CC=C(C=C1CN[C@H]1CCCN[C@H]1C1=CC=CC=C1)N1N=NN=C1C(F)(F)F,Vofopitant
CC(C)C1CCC(C)CC1OC(=O)C1=CC=CC=C1N,Meradimate
,Asfotase Alfa
COC1=C(OC)C(=O)C(CCCCCCCCCCCCO)=C(C)C1=O,Idebenone
,Ensituximab
[H][C@@]12CCC[C@]1([H])[C@@]([H])(OC1=C2C=C(O)C=C1)C1=CC=C(O)C=C1,Erteberel
COC1=CC=C(C=C1OC)C1=CC(=O)C2=C(OC)C=C(OCC(O)=O)C=C2O1,Recoflavone
,Influenza a virus a/california/7/2009 (h1n1)-like antigen (propiolactone inactivated)
,Inclacumab
CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Acetylcarnitine
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,Tizanidine
,Obiltoxaximab
CC(C)(C)C[C@@H]1N[C@H]([C@H](C2=C(F)C(Cl)=CC=C2)[C@]11C(=O)NC2=C1C=CC(Cl)=C2)C(=O)N[C@H]1CC[C@H](O)CC1,SAR-405838
,Lexaptepid Pegol
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@@](C)(O)CCC1=C(C)C(=O)C(C)=C(C)C1=O,Vatiquinone
CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1,Ifenprodil
,Bacillus calmette-guerin substrain danish 1331 live antigen
C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)CCCC[C@@H]1CCSS1)C(O)=O,CMX-2043
CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O,Limaprost
CN1C(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)=NC2=CC=C(OC3=CC(C)=C(N)C(C)=C3)C=C12,Efatutazone
,Shark liver oil
,Cocoa butter
COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1,Glymidine
C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@@]1(CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(N)=O,NRX-1074
FC(F)(F)C1=CC=C(COC(CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,Dapaconazole
NC(=O)OC[C@H]1[C@@H]2NC(N)=N[C@]22N(CCC2(O)O)C(=N)N1O,Neosaxitoxin
[Ga+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O,Dotatate gallium Ga-68
COC1=CC=CC(=C1)N1CCN(CC1)C1=NC2=C(C=CC=C2F)[C@H](CC(O)=O)N1C1=CC(=CC=C1OC)C(F)(F)F,Letermovir
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF,Fluticasone
,Abicipar Pegol
OC(=O)C(S)C(S)C(O)=O,Dimercaptosuccinic acid
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,ATP
[H]C(I)(I)I,Iodoform
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(C(=O)NC1=O)C(F)(F)F,Trifluridine
,Alglucerase
[Ca++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O,Calcium gluconate
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,Idoxuridine
CC1=NOC(CCCOC2=C(C)C=C(C=C2C)C2=NOC(=N2)C(F)(F)F)=C1,Pleconaril
COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC(OC)=C(OC)C=C4NC(=O)C4=CN=C5C=CC=CC5=C4)C=C3)CC2)C=C1OC,Tariquidar
,Pentastarch
COC(=O)C1=C(Cl)C=CC=C1C1=CC=C([C@@H](C)NC(=O)C2(CC2)NC(=O)C(F)(F)F)C(F)=C1,MK-0686
C1C[C@@]23C[N@@]1CC[C@@H]2OC1=C(C3)N=CC=C1,Dianicline
,EPC2407
CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,Atiprimod
[H][C@@]1(CF)CN(C(=O)C1)[C@@]1([H])CN2CCC3=CC(OC)=C(OC)C=C3[C@]2([H])C[C@]1([H])N,Carmegliptin
CN1[C@H](C[C@H](O)C2=CC=CC=C2)CCC[C@@H]1CC(=O)C1=CC=CC=C1,Lobeline
C\C(=N/O)C1=NC=C(N1)[C@@H](O)[C@H](O)[C@H](O)CO,LX-2931
[H][C@]12CC[C@]([H])(C[C@]([H])(C1)SCC(=O)O[C@]1([H])C[C@@](C)(C=C)[C@@]([H])(O)[C@]([H])(C)[C@]34CCC(=O)[C@@]3([H])[C@@]1(C)[C@]([H])(C)CC4)N2C,Retapamulin
CN1CCC(CNC2=NN3C(C=C2)=NC=C3C2=CC=CC(OC(F)(F)F)=C2)CC1,SGI-1776
[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)O[C@@]1([H])C[C@@]([H])(O[C@]1([H])COP(O)(=O)OC1([H])CC([H])(OC1([H])CO)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O)N1C=C(C)C(O)=NC1=O)N1C=NC2=C1NC(=N)N=C2O)N1C=NC2=C1NC(=N)N=C2O,AGRO100
COCCOC1C(O)C(COP(O)(=S)OC2C(COP(O)(=S)OC3C(COP(O)(=S)OC4C(COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5CC(OC5COP(O)(=S)OC5C(COP(O)(=S)OC6C(COP(O)(=S)OC7C(COP(O)(=S)OC8C(CO)OC(C8OCCOC)N8C=NC9=C8NC(=N)N=C9O)OC(C7OCCOC)N7C=NC8=C7NC(=N)N=C8O)OC(C6OCCOC)N6C=NC7=C6NC(=N)N=C7O)OC(C5OCCOC)N5C=NC6=C(N)N=CN=C56)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=C(C)C(=N)N=C5O)N5C=C(C)C(O)=NC5=O)N5C=C(C)C(=N)N=C5O)N5C=NC6=C5NC(=N)N=C6O)N5C=NC6=C5NC(=N)N=C6O)OC(C4OCCOC)N4C=C(C)C(O)=NC4=O)OC(C3OCCOC)N3C=C(C)C(=N)N=C3O)OC(C2OCCOC)N2C=NC3=C(N)N=CN=C23)OC1N1C=C(C)C(O)=NC1=O,Apatorsen
CN1C[C@H]2[C@H](CN(CC3=CC=C(F)C(Cl)=C3)C(=O)C3=CN(C)C=N3)[C@H]2C1,PF-03463275
CC1=CC(CN2N=NC3=C(N=C(N)N=C23)C2=CC=CO2)=CC=C1N,Vipadenant
CON=C1CN(CC11CNC1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=N1)C(O)=O,Zabofloxacin
COC1=C(Cl)C2=NC(=CC(O[C@@H]3C[C@@H]4N(C3)C(=O)[C@H](CCCCCCC[C@@H]3C[C@]3(NC4=O)P(O)(=O)CC3=C(F)C=CC=C3F)NC(=O)OC3CCCC3)=C2C=C1)C1=CSC(NC(C)C)=N1,GS-9256
NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,Hydroflumethiazide
COC1=C(O)C=CC(C[C@@H](CO)[C@H](CO)CC2=CC(OC)=C(O)C=C2)=C1,Secoisolariciresinol
,Lepirudin
,Emapalumab
,IT-101
CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS,Coenzyme A
CC(=O)N(CCCCNCCCN1C(=O)NC2=CC=CC=C2C1=O)CCCN1C(=O)NC2=CC=CC=C2C1=O,SP-8203
,Grn163l
CC1=CN2N=C(C=C2N=C1N1CC[C@H](N)C1)[C@@H]1CCCCN1C(=O)C1=CC(Cl)=CC=C1NS(C)(=O)=O,Presatovir
CCOP(=O)(OCC)SCC[N+](C)(C)C,Echothiophate
,Navicixizumab
,Efmoroctocog alfa
CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O,Doxofylline
[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Hydrocortisone butyrate
,Varicella Zoster Vaccine (Recombinant)
,REV131
CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,Fenoterol
,AMG 108
CC1(C)OC[C@@H](COC(=O)CCC2=CC=C(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)C=C2)O1,Landiolol
CC1(C)CCC2=C(O1)C1=CC=CC=C1C(=O)C2=O,Lapachone
CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(O)=O)O1,Cobiprostone
C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,Bifonazole
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Estrone
CC(C)(C)NC(=O)C1=CC=C(OC2=CC(F)=C(CC(O)=O)C=C2Cl)C(NS(=O)(=O)C2=CC=C(C=C2Cl)C2CC2)=C1,Vidupiprant
[82Rb+],Rubidium Rb-82
COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O,Hesperidin
OS(=O)(=O)ON1[C@H]2C[N@]([C@@H](CC2)C(=O)NC2CCNCC2)C1=O,Relebactam
OC(=O)C1=CC(=O)NC(=O)N1,Orotic Acid
,Tesidolumab
,Hepatitis B Immune Globulin
,Crotedumab
[Zn++].[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C([O-])=O,Zinc gluconate
C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,Zeaxanthin
COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C2N3[C@@H](OC4=C(C3=CC2=C1)C(F)=CC(=C4)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C)C1=CN=C(S1)C1CC1,Ruzasvir
[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F,Seletalisib
,Ulocuplumab
NC(=N)NCCCCC(=O)NC1=C(O[C@@H]2CCNC2)C(NC(=O)C2=CC(=NC=N2)C(=O)NC2=CC(=CC(NC(=O)CCCCNC(N)=N)=C2O[C@@H]2CCNC2)C(F)(F)F)=CC(=C1)C(F)(F)F,Brilacidin
CCS(=O)(=O)C1=CC=C2OC(=NC2=C1)C1=CC=C2C=CC=CC2=C1,Ezutromid
CC(C)(C)NCC(O)CSC1=NC(=CS1)C1=CC=C(S1)C(N)=O,Arotinolol
O.O.O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O.N[C@@H]1CN(CC11CC1)C1=C(F)C=C2C(=O)C(=CN([C@@H]3C[C@@H]3F)C2=C1Cl)C(O)=O,Sitafloxacin
,Safflower oil
,Pancrelipase protease
,Carbopol 974P
[H][C@]1(N(CCSC1(C)C)S(=O)(=O)C1=CC=C(OC2=CC=NC=C2)C=C1)C(O)=NO,Prinomastat
OC[C@H]1O[C@@H](OP(=O)(NCCCl)NCCCl)[C@H](O)[C@@H](O)[C@@H]1O,Glufosfamide
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C(OC)=C3,2-Methoxyestradiol
,EVT 201
OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2,Ellagic Acid
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,Apraclonidine
C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,Metyrosine
FC1=CC=C(OC2=CC=C(C=N2)C(=O)N2CCCN(CC2)C2CCC2)C=C1,JNJ-39220675
CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1,Pagoclone
[Ca++].OCC(CO)OP([O-])([O-])=O,Calcium glycerophosphate
COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(=O)OCCS(C)(=O)=O,Naproxen etemesil
COC1=C(NC2=C(C)N=C(C=C2)S(C)(=O)=O)N=CN=C1OC1CCN(CC1)C(=O)OC(C)C,ADP-597
CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1,Gandotinib
,Riferminogene pecaplasmid
,Iodine povacrylex
CC(C)OC(=O)N[C@@H]1CC2=C(C1)C1=CC(=CC=C1N2CC1=CC=CC=N1)C#N,LY-2452473
CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(C)C=C1,Lucanthone
[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,Lithium citrate
,Ragweed pollen extract
COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1,Temefos
[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@]12C,Canrenone
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCOC(CC)C(O)=O,Icosabutate
CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,Gamolenic acid
CC(C)OP(=O)(OC(C)C)C(CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)P(=O)(OC(C)C)OC(C)C,Apomine
CC1=CC=C(C=C1)C#CC1=CC=C(S1)S(=O)(=O)N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O,S-3304
CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC,Apadenoson
CN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C(=O)C1=CC=CS1,Indiplon
N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,Nona-arginine
[H]\C(C)=C1\[C@]2([H])CC3=C(C=CC(O)=N3)[C@]1(CC(C)=C2)\N=C(/[H])C1=CC(Cl)=CC(OC)=C1O,Mimopezil
N1C=CN=C1,Imidazole
,Protein S human
,XL765
[H][C@](CO)(NC(=O)C(Cl)Cl)[C@]([H])(O)C1=CC=C(C=C1)S(C)(=O)=O,Thiamphenicol
[H][C@@](CC(=O)N1C[C@@]2([H])CCCC[C@@]2([H])C1)(CC1=CC=CC=C1)C(O)=O,Mitiglinide
COC1=CC=C2NC=C(CCNC(=O)C3=CC(=O)C=CO3)C2=C1,Piromelatine
OC(=O)CC[C@H]1CC[C@@](CC1)(C1=C(F)C=CC(F)=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,MK-0752
COC1=CC=C(\C=C\C(\O)=C\C(=O)\C=C\C2=CC(OC)=C(OC)C=C2)C=C1OC,Dimethylcurcumin
CC(CN1CCCCC1)CC1=CC=C(C=C1)C(C)(C)C,Fenpropidin
CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,Mefenamic acid
OC1=CC=CC=C1,Phenol
,BTA798
,Dichlorobenzene
CC(S)C(O)=NCC(O)=O,Tiopronin
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC,Lisuride
COC1=CC=C(C[C@@H](CN[C@@H](CCCNC(N)=N)C(O)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](CC2=CC=CS2)NC(=O)CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCNC(N)=N)C=C1,Labradimil
,Edrecolomab
[H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O1,Denufosol
CCCC(=O)OCOC(=O)C(C)(C)C,AN-9
CCCN=C(O)C1=CN2NC=NC(=NC3=C(C)C=CC(=C3)C(O)=NC3CC3)C2=C1C,BMS-582949
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,Resatorvid
[H][C@@]12CCC3=CC(C(C)C)=C(C=C3[C@@]1(C)CCC[C@@]2(C)C(O)=O)S(O)(=O)=O,Ecabet
[111In+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)CC(O)=O,Indium In-111 pentetate
,Oat
NC1=NN=C(S)S1,"5-amino-1,3,4-thiadiazole-2-thiol"
,IPH 2101
OC1=CC=C(CC2NCCC3=C2C=C(O)C(O)=C3)C=C1,Higenamine
CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O,Nimesulide
[H][C@@](O)(CO)CN1CCN(CC1)C1=CC=CC=C1,Levodropropizine
