ndc11,DRUG
00904597361,Risperidone
00591040401,Verapamil
00904292461,Verapamil
61314063705,Pred Forte
00536138912,Hemorrhoidal Suppository
00015733912,Cefazolin
00054853416,Loperamide HCl
55390061320,Acyclovir Sodium
00173023044,Digoxin Immune Fab
59676032001,Epoetin Alfa
00206845455,Piperacillin-Tazobactam Na
63739026915,Tamoxifen Citrate
00168002135,poly
44206025110,Albumin 5% (25 g)
51079048101,Amantadine
65597070118,Colesevelam
00173057000,Zofran
00173044600,Ondansetron
17317038904,Orange Oil
63395010105,Floxin
61314065625,Ciprofloxacin Ophth Soln
11098050701,Cyanide Antidote
55045122403,Sulfameth/Trimethoprim
00024540134,Glucosamine
50474059540,Keppra
00168002738,Neomycin-Polymyxin-Bacitracin Ophth. Oint
00089030510,Flecainide Acetate
68094020462,Ranitidine (Liquid)
00024414260,Dronedarone
00054022463,LeVETiracetam
00071015640,Dronedarone
58160087646,Influenza Virus Vaccine
00054022463,LeVETiracetam Solution
00121174410,guai
00071101268,Pregabalin
63824000840,Guaifenesin ER
00904336561,Baclofen
00409909422,Fentanyl Citrate
00703951403,Sulfamethoxazole-Trimethoprim
51079078820,ALPRAZolam
51079054320,Escitalopram Oxalate
68094050361,Ibuprofen Suspension
00998020615,Pilocarpine 4%
24208054505,Levobunolol 0.25%
24208050510,Levobunolol 0.5%
00998020315,Pilocarpine 1%
00023917705,Alphagan P
61703024615,Hydromorphone P.F.
00299383528,Metronidazole 0.75%
00065024620,Betoptic S
00008001901,Promethazine HCl
62037069790,Diltiazem Extended-Release
00338004501,0.9% Sodium Chloride
00074662502,sodium bicarbonate
00071000740,dilantin 
00071000740,dilantin
54868277600,dilantin
00245009101,Multivitamins
00044182610,Verapamil HCl
00173069602,Advair Diskus
00009376103,Delavirdine Mesylate
00703441211,VinCRIStine (Oncovin)
38779003504,Methotrexate Sodium
00002416502,Raloxifene HCl
55513007330,Sensipar
00074665305,KCl
00026885148,Nifedipine
00009090020,Hydrocortisone
00173013555,BuPROPion
00069421030,Sildenafil Citrate
00300154430,Lansoprazole
00087057202,Acetylcysteine (IV)
00009338901,MethylPREDNISolone Sodium Succ
00004018301,Nicardipine HCl
49884049901,Nicardipine HCl
00574012008,Charcoal-Sorbitol
61113074228,Omeprazole
00338055311,NS (Mini Bag Plus)
17478071110,Lidocaine Jelly 
52959045230,Claritin
00597006761,Mexiletine HCl
00536435805,Procainamide SR
51079010220,Procainamide HCl
00182090401,Phenazopyridine HCl
00074227913,Trandolapril
49884090738,Megestr
16500002322,Domeboro
51079037420,Chlordiazepoxide HCl
00046047199,Propranolol LA
00046047199,Propranolol HCl
59730839901,Hepatitis B Immune Globulin (Nabi-HB)
00078024815,Cyclosporine Modified (Neoral)
00078024615,Cyclosporine Modified (Neoral)
55045122403,BACTR
00904272561,BACTR
00078033184,Simulect
00087277235,Irbesartan
00087607411,Glucovance (5mg-500mg)
00039022211,Amaryl
00071053523,Quinapril
10432017002,Ergocalciferol
17478028712,Levobunolol Hcl 0.5%
00121068305,Guaifenesin-Codeine Phosphate
00078038725,Zoledronic Acid
51079065720,Albuterol
00049343041,D5W
00049343041,Mycophenolate Mofetil
00049343041,Syringe (IV Room)
00049343041,Methylprednisolone Na Succ.
00078027422,Cyclosporine Modified (Neoral)
00074610204,SW
00049001383,Potassium Chloride
00074407532,Pantoprazole Sodium
00054815624,NS
00054815624,D5W
00054815624,Mycophenolate Mofetil
00054815624,*NF* Basiliximab
00054815624,Methylprednisolone Na Succ.
00054815624,Unasyn
00054815624,Famotidine
00074407532,Iso-Osmotic Sodium Chloride
00074407532,Nitroglycerin
00173095396,Acyclovir
50484052730,Collagenase Ointment
00054881755,Sodium Polystyrene Sulfonate
52604710403,Thrombin
63323028110,Fluphenazine
51079048620,Fluphenazine
00005921823,Demeclocycline
54868311105,Ampicillin
00186429100,Vitamin A
51079090520,Phenytoin Sodium Extended
17236032410,Theophylline SR
00029608621,Amoxicillin-Clavulanic Acid
00004110116,*NF* Capecitabine
00078024915,Femara
50242013460,Trastuzumab
00206885416,Piperacillin-Tazobactam Na
54569272600,Imipramine HCl
00168002638,Bacitracin  
00173019892,Neomycin-Polymyxin-HC (Otic)
00168002638,Bacitracin Ophthalmic oint
63010001027,Nelfinavir Mesylate
54569405200,Mupirocin Ointment 2%
00023024001,Lacri-Lube Oint
00075245153,Desmopressin Acetate
00641041025,Heparin
00074428202,Lidocaine 2%
51079084020,Sulfadiazine
00002756101,Drotrecogin Alfa (Xigris)
00006007428,Rofecoxib
00007336721,Prochlorperazine Maleate
00015321230,Carboplatin
50458039660,Razadyne
51079006820,Dipyridamole
00904591361,BuPROPion
00264751020,5% Dextrose (EXCEL BAG)
00186109039,SYMLIN
52769025105,Albumin 
10019007002,Milrinone Lactate
00641243645,Heparin CRRT
00409653301,Vancomycin
63857032810,Oxazepam
59676034001,Epoetin Alfa
00007313116,Cefazolin
10019004502,Famotidine (IV)
59762308001,Azithromycin
61958070101,Emtricitabine-Tenofovir (Truvada)
00078036864,*NF* Famciclovir
00004018809,Boniva
55045122403,Sulfameth/Trimethoprim DS
00074567304,Hydrocortisone Na Succinate
00078001715,Bromocriptine Mesylate
51079041520,Calcium Carbonate
00066043115,Benzoyl Peroxide Gel 10%
11980002515,artif
00049396041,Geodon
17314931102,Thrombin
00591315901,Ursodiol
00904565261,Terazosin
00781210401,Tacrolimus
00781210301,Tacrolimus
51079089020,Rifampin
00555090201,naltrexone
51079052020,Finasteride
51079042420,cilostazol
00456066270,Florastor
50383074120,Albuterol
00406048462,Acetaminophen w/Codeine
00409663734,sodium bicarb
00054372144,PredniSONE
00904553561,Naproxen
00173069700,Fluticasone-Salmeterol Diskus (500/50) 
00088120806,Zofran
50458039060,Galantamine Hydrobromide
00409115170,Heparin Flush 
00409427001,Lidocaine 1% P.F.
00406112101,Methylphenidate
00904105661,Benztropine Mesylate
64253033335,Cystospaz
00536391801,L-Hyoscyamine
00009000602,Pramipexole Dihydrochloride
00056052168,Carbidopa-Levodopa CR (50-200)
51079009520,Phenobarbital
00338004938,1/4 NS
00338004910,NS
00173037934,NEO*IV*CeftazIDIME
00002445485,Olanzapine (Disintegrating Tablet)
00703005104,Methylprednisolone Acetate
00054352763,Lithium Citrate (Syrup)
67159011203,Ranolazine
51079043720,Doxepin HCl
00003173840,Amoxicillin Oral Susp.
00034051525,Morphine 
51079009020,Urispas (flavoate HCL)
00591079601,SulfaSALAzine
54868370400,Testosterone 2.5mg Patch
00904526161,Ranitidine HCl
00087015846,Monopril
00087060942,Monopril
00781305714,Zofran
54569198900,Albuterol
60793011601,Liothyronine Sodium
00008083303,Effexor XR
59148000813,Aripiprazole
63304020301,*NF* DOMPERIDON
10019002902,Ketorolac
55390011405,Paclitaxel
00264780010,NS (Excel)
00766147010,Nicotine Patch
00225029515,Hyoscyamine
60977045101,NEO*IV*Metoclopramide
00054856304,NEO*IV*Metoclopramide
66993000860,Cilostazol
00006351903,Dorzolamide 2% Ophth. Soln.
00781570192,Losartan Potassium
00409217205,HYDROmorphone-HP
00074241421,HYDROmorphone
00409130431,HYDROmorphone
52604512501,Levoxyl
55390010110,Terbutaline Sulfate
00517857510,Alcohol Dehydrated
00641061025,Thiamine HCl
00074781124,Foltx
51079011620,CycloSPORINE Modified (Eon Labs)
00338055002,Foltx
50458022001,Ketoconazole
00173017755,Bupropion
00093947753,GlyBURIDE
51079051820,ChlorproMAZINE
00186074382,Omeprazole
00054881611,Kayexalate
00536222075,Maalox
00472120006,Acetaminophen (Childrens)
10019017844,NEO*IV*Morphine Sulfate
00904420260,Niacin
00904227260,Niacin
00904227260,*NF* Niacin
00182441801,*NF* Niacin
00182441801,Niacin 
51079006720,Diphenoxylate HCl/Atrop Sulf
54569439800,Tetanus Immune Globulin
00310070539,Casodex
00015347530,Paclitaxel
00015321530,Carboplatin
00052045015,Rocuronium Bromide
60951065616,Amantadine Syrup
00009076004,Clindamycin
10038011734,Kaolin/Pectin
61570017261,Anusol-HC Suppository
00029152725,Bactroban
51079006001,Chlorothiazide
00338070341,ATRIPLA
08880950505,ATRIPLA
00186011291,Lidocaine 1% P.f.
00186021003,Lidocaine 1% P.f.
00032449201,Lithium Carbonate
60505258600,Risperidone
50458032001,Risperidone
00338080304,ALBUTEROL
00049155066,GlipiZIDE XL
50458030510,Risperidone Oral Solution
00186033001,Lidocaine Jelly 2%
00245018201,Divalproex (DELayed Release)
67546011132,Nitazoxanide
00245018101,Divalproex (DELayed Release)
00228263111,Isosorbide Mononitrate
00245002322,Lactic Acid 12% Lotion
00085173302,Moxifloxacin
00093528201,Ropinirole
00054872425,Heparin
00009082501,Hydrocortisone Sod Succinate
63653117103,Colazal
00049053028,Penicillin G Potassium
00781304095,Pyridostigmine Bromide
10019087315,Edrophonium Chloride
00364290861,Penicillin G Potassium
12136000910,Epinephrine Inhalation
00121053205,Chloral Hydrate
00091353701,Hyoscyamine SO4 (Time Release)
00091353701,hyosc
00088110749,Levbid
58177088601,NEO*PO*Morphine
00168000815,Tolnaftate 1% Cream
00007336344,Prochlorperazine Edisylate
00088222033,GLARGINE
00173045900,Sumatriptan Succinate
00409141005,Isoproterenol
63323016101,Octreotide Acetate
00574012008,charcoal
00409672924,Medium Chain Triglycerides
51079094420,BuPROPion
00281032608,Nitroglycerin Ointment  2%
00121054410,Docusate 
00904224461,Docusate 
00409669501,Etomidate
38779057808,Metoprolol Tartrate
00075062161,Enoxaparin Sodium
00173069604,Fluticasone-Salmeterol Diskus (250/50) 
00173068254,Fentanyl Citrate
00173068254,Midazolam
00173068254,NORepinephrine
00173068254,Fentanyl
00093015506,Topiramate (Topamax)
00071036240,Phenytoin Sodium Extended
00074381901,Morphine Sulfate
00245014701,Amiodarone
00087015846,Fosinopril
00087060942,Fosinopril
63323001115,Chloramphenicol Na Succ
50458030503,Risperidone
00074568113,Valproic Acid
00054828104,Ferrous Sulfate (Liquid)
00054808425,Azathioprine
00338004938,Insulin Pump
55289075130,Theophylline (Slo-bid) Capsule
00944049101,Albumin 5% (25 g)
00032192482,Mesalamine Enema
00256015201,sodium
00007336344,Prochlorperazine
63020004901,Bortezomib
00071201223,Gabapentin (Liquid)
00074233411,Hydromorphone PCA
54868255700,Lithium Carbonate CR (Eskalith)
00049399041,Ziprasidone
00173037934,NEO*IV*Ceftazidime
00091415060,NEO*PO*Ergocalciferol
49884072401,Hydroxyurea
00536440601,Pyridoxine HCl
51079005520,Carisoprodol
51079076708,Divalproex (EXTended Release)
00009307303,Methylprednisolone ACETATE
00409427001,Lidocaine 1% P.f.
66993084225,Methylprednisolone
51079003920,Docusate Sodium-Casanthranol
00074610204,NEO*IV*Furosemide
00168005430,Nystatin
54482014407,Levocarnitine
00206885516,Clobazam
00338004904,Clobazam
50474000263,Clobazam
00456066270,Coenzyme Q10
00003010150,Amoxicillin
00065064725,Tobramycin-Dexamethasone Ophth Susp
00075001600,DDAVP
00075245201,Desmopressin Nasal
00781940895,Ampicillin Sodium
63459010101,modafinil
63323010510,Acyclovir
00409724101,EPINEPHrine
00904062960,Niacin SR
00172571010,Glyburide/Metformin (1.25mg-250mg)
00121177505,Guaifenesin
51079028620,Diazepam
68094019361,Valproic Acid
58914011110,Viokase-8
00536479301,Vitamin E
00517155025,Avodart
00338069104,Avodart
00026286148,Acarbose
00703904003,Amikacin
00409317701,Lidocaine 0.5%
68115017430,HydrOXYzine
67386051151,NEO*IV*Indomethacin Sodium
00338001702,Clobetasol Propionate
55045213405,Collagenase
00074176201,Clobetasol Propionate
00066043115,Clobetasol Propionate
59366274201,Benzoyl Peroxide
00074614309,Acetic Acid 0.25% Irrig. Soln
63323020110,Lidocaine
00029152544,Mupirocin Ointment 2%
55390060502,Colchicine
00025152031,Celebrex
00008039004,Penicillin V Potassium
00456320563,Memantine HCl
00409910420,DOPamine
23731605305,Citrate Dextrose 3% (ACD-A) CRRT
55390056090,DOBUTamine
00078005405,Methylergonovine Maleate
57706075323,Acetazolamide
00905180410,Metronidazole
55390009110,VinBLAStine (Velban)
00472128416,Sulfameth/Trimethoprim SS
00024120020,Milrinone
60793058110,Ketamine
00409131230,Enablex
51672125802,Clobetasol Propionate 0.05% Cream
00046110081,Estrogens Conjugated
00093026292,Fluocinonide 0.05% Cream
54868175201,Propylthiouracil
52769045050,Albumin 5%
54569189502,MIDAZOLAM
00338004938,LABETALOL
00338004938,LIDOCAINE 1% (W/Presv.)
00338004938,CALCIUM GLUCONATE
00338004938,ACETAMINOPHEN (LIQUID)
00517260225,POTASSIUM CHLORIDE
00517260225,LIDOCAINE 1% (W/Presv.)
00517260225,CALCIUM GLUCONATE
00121054410,FUROSEMIDE
00517090125,DEXTROSE 50%
00005197067,METOPROLOL
00005197067,ACETAMINOPHEN
00002831501,ACETAMINOPHEN (LIQUID)
00002831501,FUROSEMIDE
55390005710,FUROSEMIDE
55390005710,LIDOCAINE 1% (W/Presv.)
55390005710,PROPOFOL
55390005710,AMIODARONE
55390005710,ESMOLOL
00310030011,METOPROLOL
00310030011,AMIODARONE
00310030011,PROPOFOL
63323022110,Vancomycin 
00034210001,Povidone Iodine 1/2 Strength
00074630413,Erythromycin Base
00168000715,Nystatin (Topical)
51079055271,Insulin
00731040106,Zinc
00338004304,Haloperidol
00338004304,Midazolam
00338004304,Fentanyl Citrate
61570003310,cortisporin
00093874001,Mexiletine HCl
58016074000,Mexiletine HCl
00054368263,Oxycodone
00008005910,Penicillin V Potassium
51079009120,Methocarbamol
54569041702,Dicyclomine
00182121301,Quinine Sulfate
00015798120,Oxacillin Desensitization
00074724101,Epinephrin
63323042405,Flumazenil
50458030611,Risperidone Long Acting Injection
17714002001,Diphenhydramine Hcl
00004026001,Mycophenolate Mofetil Suspension
00065027505,Azopt
00173034447,Ranitidine HCl
00054839224,Hydromorphone HCl
00054856304,Metoclopramide HCl
00013258691,Idarubicin HCl
00074125901,Morphine Sulfate (2-4mg)
00300334601,Leuprolide Acetate
60977045101,Metoclopramide HCl
00904107061,Metoclopramide HCl
00074125901,Morphine Sulfate (1-5mg)
00078045735,Oxcarbazepine
00299382045,MetronidAZOLE Topical 1 % Gel
54569452500,Methotrexate Sodium
00121043130,Milk Of Magnesia
00088120343,Dolasetron Mesylate
50383068304,multi
51079000920,Niacin
00054335050,Haloperidol
00121058104,Haloperidol
60976059871,Azathioprine Sodium
00182050789,Propofol
00182050789,Fentanyl
51079090520,Lipram-CR5
00054352763,Lithium
00032449201,Lithium Carbonate SR
13533063603,Hepatitis B Immune Globulin (Bayhep B)
00009766304,Aromasin
00009766304,Insulin Pump
50242013468,Trastuzumab
00597002901,Mobic
63739002401,Insulin Pump
00008070101,Venlafaxine
00168014630,Hydrocortisone Oint 2.5%
00078031190,Miacalcin
51079055620,Pyridoxine HCl
00004691206,Flumazenil
00049350079,Fluconazole
55045122403,Sulfameth
00074490223,DEX
00074647844,Erythromycin Lactobionate
00173063302,LaMOTrigine
00406112101,Methylphenidate HCl
00006361932,NEO*IV*Chlorothiazide
00078010901,Cyclosporine (Sandimmune)
00472073041,Miconazole Nitrate 2% Vaginal Cream
00009023301,Bacitracin
39822010001,Polymyxin B Sulfate
62161000538,Busulfan
00074454102,Leucovorin Calcium
00009037301,Cytarabine
00078024115,Cyclosporine (Sandimmune)
51079054120,Prochlorperazine Maleate
00003272510,Tobramycin
00003043730,Amphotericin B Oral Solution
63323022110,Vancomycin
00409468823,Fluconazole
51079025520,Alrex
00487950125,*nf* Loteprednol 0.5% ophth
55390007310,*nf*  Loteprednol 0.2% ophth
55390007310,*nf* Loteprednol 0.5% ophth
00904404073,Aspirin EC
00121065721,Lotemax
00121065721,Alrex
58914050056,Mesalamine (Rectal)
37205014472,Melatonin
00056016975,Melatonin
57844052206,Mercaptopurine
59930156001,Levalbuterol HCl
00002831501,Insulin NPH Human Recomb
00182181144,Bismuth Subsalicylate Chewable
00072810015,Hydrocortisone Val. Cream 0.2%
54569466100,Aveeno Bath
00364737672,Phenylephrine 2.5 %
53014083572,Metolazone
63010002770,Viracept
58177023811,Isosorbide Mononitrate
58177022211,Isosorbide Mononitrate
50458032006,Risperidone
00904567861,Paroxetine
63323054031,Heparin
00005230933,Pneumococcal 23-Val P-Sac Vac
54868416700,Metoclopramide
00046087293,Estrogens Conjugated
00078035834,Valsartan
49999026728,DiCLOXacillin
00074131230,Clonidine TTS 1 Patch
00002416530,Raloxifene
00054853516,Loperamide
00044502210,Propafenone HCl
51079027920,Propranolol
51079027720,Propranolol
00121063810,Guaifenesin
63323073310,Mesna
50419051106,Fludarabine Phosphate
00185075710,Sulfadiazine
00456066270,potass
49643013801,Candida Skin Test
50419035510,Alemtuzumab
00054352763,Lithium Carbonate
00074663722,sodium bicar
00469061711,Interferon Alfa 2A (INFERGEN)
64116003106,*NF* Interferon Alfacon-1
00085138507,Ribavirin
55045122403,Sulfame
00093008801,Sulfame
00093008801,Syringe (IV Room)
00093008801,Methylprednisolone Na Succ.
00078027422,Pantoprazole Sodium
00078027422,NS
00078027422,Syringe (IV Room)
00078027422,Methylprednisolone Na Succ.
00002831501,Methylprednisolone Na Succ.
00002831501,Syringe (IV Room)
62584078833,Syringe (IV Room)
62584078833,Methylprednisolone Na Succ.
54868252200,Filgrastim
17714002001,Interferon Alfa 2A
00054352763,Lithium 
00185077130,Bisoprolol Fumarate
00585067502,Cromolyn Sodium
00300304611,Prevacid
00300304613,prevacid
00944262004,Gammagard S/D
00074307331,Ephedrine Sulfate (Pressors)
00781137113,Metoprolol
00074706911,levo
50419010111,Quinidine Gluconate
00409614309,Acetic Acid 0.25% Irrig. Soln
51079042420,cilo
00034210001,Povidone Iodine 1/4 Strength
51079042420,*nf
00078017605,Lescol XL
63739008901,Docusate 
00469520230,Protopic
00003515406,Pravastatin
00168004631,dibucaine
00178061001,Urocit-K 10
00078035680,Zelnorm
00078035680,Flora-Q
51079006920,Dipyridamole
55390003110,Methotrexate Sodium
00008451001,Gemtuzumab Ozogamicin
58063060050,Decitabine
00409427701,Lidocaine 2%
00469325010,*NF* Micafungin
00168000380,Triamcinolone Acetonide 0.025% Cream
67211010201,Azacitidine
00054858516,Morphine Sulfate IR
00703485211,Fludarabine Phosphate
67286005308,Busulfan
00472128416,bact
50111032703,Hydralazine HCl
00182055589,Hydralazine HCl
49884002901,Hydralazine HCl
00039022211,Glimepiride
10267146501,Iron Polysaccharides Complex
00068051030,Rifampin
59762502601,Gabapentin
63323013011,Doxycycline Hyclate
10267146501,Polysaccharide Iron Complex
00395224391,Peppermint Oil
00781178513,Diclofenac Sodium
11980002515,Epoetin Alfa
00007351920,Dextroamphetamine
00781155613,Metronidazole
00034120081,NS
00034120081,Vial
00006778433,NEO*SC*Phytonadione
00338101741,Nafcillin
00781312495,Nafcillin
00029608031,Amoxicillin
00015740520,Ampicillin
00074724803,Lumigan
00045152510,Lumigan
00904517416,Diphenhydramine HCl
00641254745,Pancuronium Bromide
00597003212,Clonidine T
00597003212,Clonidine TTS 1 Patch
00517155025,sodium
00003043730,NEO*IV*Amphotericin B
00186011291,Lidocaine 1% P.F.
50419035510,*NF* Alemtuzumab
00074568216,depak
00074568216,valproi
00085057502,Betamethasone Dipro 0.05% Cream
00074245327,Hydromorphone HCl
00517113001,Epinephrine 1:1000
55045122403,BACTRIM
00007401020,Lithium Carbonate
39822041206,Tobramycin Sulfate
50383068304,mul
00168031230,econ
50383068304,multivit
00054355663,Methad
00054829816,MICRONEFRIN
00054858516,MORPHINE
00074190201,Procainamide HCl
55390056510,Procainamide HCl
54569146000,Tetanus-Diphtheria Toxoids-Td
00781144113,tria
50580029304,Imodium A-D
00054485906,*nf
00054319446,Diphenoxylate-Atropine
00182181144,bismuth subsalicy
00054485906,tr
50242004413,Halcion
00591079601,SulfaSALAzine_
00078018325,Octreotide Acetate
49452477503,IMMODIUM
52544093102,Iron Dextran (Test Dose)
52544093102,Iron Dextran Complex
00023218105,Ketorolac Tromethamine
00007550040,Albendazole
37000002104,Bismuth Subsalicylate
00072254006,Calcipotriene 0.005% Oint
00781104801,Perphenazine
00074712613,Divalproex Sodium ER
00087277235,*NF* Irbesartan
00006362835,Heparin
00009035201,Glyburide Prestab
00009035201,Glyburide
59730560101,*NF* Allopurinol Sodium
00186011201,Lidocaine 1% P.F.
17314931102,Neutra-phos
54868308400,Dronabinol
00013110679,Doxorubicin
00088120632,Anzemet
54569446601,Atorvastatin Study Med
00169008181,Repaglinide
00091415060,Vitamin D
00074177825,Azopt
00256015201,Lumigan
00023866505,Lumigan
00023866505,Azopt
54569170102,Desipramine HCl
00002751001,HUMALOG INSULIN
62584078833,BRINZOLAMIDE (Azopt)
62584078833,BIMATOPROST (Lumigan)
00009752901,Irinotecan HCl
10019025012,Atropine Sulfate
00054418425,HCRF
55045213405,Santyl
17317001801,Alum Ammonium
58914011110,Amylase-Lipase-Protease
00045009569,Amylase-Lipase-Protease
00034700480,Theophylline (Time Release)
15127020017,Advair Diskus
51079041720,Xopenex
51079027720,Proprano
00703003104,Methylprednisolone Acetate
00904600161,LeVETiracetam
57866422403,Phenobarbital
61958050101,Hepsera
00173059500,Lamivudine-Zidovudine
00173045301,Flonase
00182138167,Sodium Chloride
00182138167,Potassium Chloride
00182138167,NEO*IV*Caffeine Citrate
64253033335,Syringe (Neonatal)
64253033335,D10W
64253033335,NEO*IV*Caffeine Citrate
51079082020,LeVETiracetam
00054355663,Methadone
00168006015,Fluocinolone Acetonide 0.025% Cream
50242005121,~<IND> Rituximab
00045050130,Acetaminophen (Liquid)
51079012620,ATRIPLA
00245010450,ATRIPLA
00904505359,Pseudoephedrine
63459054128,Fentanyl Citrate
00487980125,Uroqid-Acid No.2
58016074000,Mexiletine
00904224461,Fentanyl Citrate
00781711155,Duragesic
00781711455,Duragesic
00338355248,Fentanyl Citrate
58016074000,Fentanyl Citrate
55045141500,Cephalexin Suspension
00149075202,Mesalamine DR
00395224391,Peppermint 
00054458111,Mercaptopurine
00149075215,Mesalamine
63739026110,Sucralfate
00075062431,Enoxaparin Sodium
00904770418,Aspirin
00641041425,Heparin Flush (10 units/ml)
00409176230,Morphine Sulfate (Syringe)
51479005520,CefePIME
63323001201,Oxytocin
63323022110,Vancomycin Intrathecal
67286081203,Nicardipine HCl
00641139735,Chlorpromazine
61113074228,PRILOSEC
60432054760,Lindane Shampoo
60432054660,Lindane Lotion
00006003220,Ivermectin
00023791560,Permethrin
10337065010,CARMOL 40
00186070210,*NF* Budesonide
00597003334,Clonidine TTS 1 Patch
54569122400,Dexamethasone Sod Phos Ophth
00074126102,Morphine Sulfate (4-8mg)
38697601501,Candida Albicans
87701089415,Carbamide Peroxide 6.5%
00186070210,Budesonide
00003363112,Atazanavir
59676056201,Darunavir
00766145010,Nicoderm CQ
63323023861,CefazoLIN
00597018390,Mirapex
00597018390,Pramipexole
00517460125,Propofol (Generic)
00517460125,NS
00517460125,D5W
00517460125,Soln.
00517460125,Humulin-R Insulin
00517460125,Phenylephrine HCl
00517460125,Nitroprusside Sodium
00517460125,Nitroglycerin
00045050130,Potassium Chloride
00045050130,Vancomycin HCl
00045050130,SW
51079000522,Iso-Osmotic Dextrose
58177000104,Vancomycin HCl
58177000104,Iso-Osmotic Dextrose
00074491023,D5W
00641032025,Atropine Sulfate
58177000104,Heparin Sodium
61787006204,Guaifenesin-Dextromethorphan
58406005030,Sargramostim
00072690505,*NF* Benzoyl Peroxide 5% Wash
00026858188,Moxifloxacin HCl
00026858231,*NF* Moxifloxacin
58406000201,Sargramostim
51079059820,moxifloxacin 
59676020101,Cladribine
00026858188,*nf
00074665305,Gatifloxacin
00364031401,Probenecid
00074407532,Calcium Gluconate
24208055555,polysporin
00054865024,Vancomycin HCl
00054865024,Phenylephrine HCl
00054865024,Nitroglycerin
00054865024,Potassium Chloride
00517391025,Nitroprusside Sodium
55390007310,D5W
55390007310,Phenylephrine HCl
00173034447,Nitroprusside Sodium
00054865024,D5W
00054865024,Humulin-R Insulin
00054865024,NS
00517391025,Iso-Osmotic Dextrose
00517391025,SW
00046326510,Propranolol HCl
00004080085,Tamiflu
00781143913,Fluphenazine
51672404709,Carbamazepine
00904586761,Sertraline
00310070539,Bicalutamide
00054350049,Kaolin-Pectin/Benadryl/Lido Visc.
00085056605,Betamethasone Sodium Phos/Acet
00031425064,Phenobarbital-Belladonna Alk
00173056900,Zofran
58914011110,Amylase/Lipase/Protease
00173044602,Zofran
00456201001,LEXIPRO
00575022530,Sod Citrate-Citric Acid
00378911693,Nitroglycerin Patch
63402051224,*NF* Levalbuterol Soln
00002861501,Insulin
00074173214,Propafenone HCl
00173034447,esomeprazole
51079080220,Nexium
64764030115,Pioglitazone HCl
66591091332,Oxycodone
00009004902,Methylprednisolone
00703841101,Enalaprilat
00008536002,Tigecycline
63323054031,Hepar
00074488810,Neo*Nasal*Sodium Chloride 0.9%
00182144464,Oxymetazoline
55513014410,Xenaderm
00469060773,Xenaderm
63323026201,Heparin Flush CRRT (5000 Units/mL)
50458029515,Itraconazole
59676032004,Epoetin Alfa
00641244045,Hepa
00641040025,Hepa
00074663722,sodium bica
00548301100,Tuckables Pad
52769025105,Albumin 5% (25 g)
10631040701,Hydrocortisone (Rectal) 2.5% Cream
00172566410,BusPIRone
00173047001,LaMIVudine
00173066100,Abacavir Sulfate
64253033335,Heparin Flush (10 units/ml)
51079081420,Nadolol
00703352403,Dexamethasone Sod Phosphate
54738091301,Imipramine
10019007002,Milrinone
51079041720,Zomig
00501410507,Hydrocortisone Acetate Ointment 1%
00121168305,robit
00054412125,Calcium Gluconate
00087057007,Norepinephrine Bitartrate
00409662502,sodium bicar
00173067502,Malarone
00069266041,Procardia XL
54396011111,Oxandrolone
00186108839,Metoprolol Succinate XL
00074176201,L-Hyoscyamine SL
00074779362,L-Hyoscyamine SL
00044182512,Verapamil
00006027528,Montelukast Sodium
00004003822,ValGANCIclovir 
00004026001,Mycophenolate
00338008504,Lorazepam
00258368890,Dilti
00258368890,Dextrose 50%
50383023210,Dorzolamide 2% Ophth. Soln.
00904504260,Multivitamins W/minerals
00310075239,Rosuvastatin
50383023310,Dorzolamide 2%/Timolol 0.5% Ophth.
00713013512,Prochlorperazine
00028010561,Terbutaline Sulfate
58177000111,K-Lor
00456066270,potas
00258361301,Isosorbide Dinitrate SA
57480042401,Amitriptyline HCl
50242004413,Alteplase Recombinant
51079045620,Simvastatin or placebo
00641243645,Heparin Flush Hickman (100 units/ml)
10019003372,Fentanyl Citrate
51079010720,Amitriptyline
00469325010,Micafungin
00517857510,Ethanol 70% Catheter DWELL (Tunneled Access Line)
54092041808,PER
00071108813,Anusol Suppository
00904582460,Vitamin D
51079079001,ALPRAZolam
64764045125,Pioglitazone
00007506111,Chlorpromazine HCl
00049001483,*NF* Basiliximab
00641040025,NS
00074663722,D5W
00074663722,Iso-Osmotic Dextrose
00074663722,Methylprednisolone Na Succ.
00074663722,Furosemide
00074663722,Piperacillin-Tazobactam Na
00074663722,Famotidine
00074663722,Iso-Osmotic Sodium Chloride
00074663722,Phenylephrine HCl
55045122403,Sulfameth/Trimethoprim SS
55045122403,Mycophenolate Mofetil
55045122403,D5W
00074176201,Syringe (IV Room)
00074258702,Syringe (IV Room)
00944049101,Methylprednisolone Na Succ.
00053768002,NS
00053768002,Humulin-R Insulin
00053768002,Piperacillin-Tazobactam Na
00053768002,Iso-Osmotic Dextrose
00053768002,D5W
00053768002,Syringe (IV Room)
00053768002,Methylprednisolone Na Succ.
00053768002,DopAmine
00078024815,Methylprednisolone Na Succ.
00078024815,D5W
00078027422,Acetazolamide Sodium
00944049101,Anti-Thymocyte Globulin (Rabbit)
00944049101,DopAmine
00944049101,D5W
00944049101,Syringe (IV Room)
00944049101,NS
00078027422,*NF* Basiliximab
00074427701,Lidocaine 2%
00517293025,D10W
00517293025,Potassium Chloride
