DRUG,atc4
dexameth,S03BA
dex,S03BA
dexam,S03BA
dexamethason,S03BA
dexame,S03BA
dexamethaso,S03BA
ketorolac,S03BA
rescula,C03CA
magnesium sulfate,C03CA
d5w,C03CA
nitroglycerin,C03CA
lumigan,C03CA
ethezyme,C03CA
januvia,C03CA
carbachol,C03CA
tobramycin fortified ophth. soln.,C03CA
arimidex,C03CA
ns,C03CA
potassium chloride,C03CA
neo*po*furosemide (10mg/1ml),C03CA
insulin pump,C03CA
xopenex,C03CA
heparin,A07EA
advair diskus,A07EA
desvenlafaxine,A07EA
zytiga,A07EA
heparin,H02AB
advair diskus,H02AB
desvenlafaxine,H02AB
zytiga,H02AB
ondansetron,A07EA
ondansetron,H02AB
warfarin,B01AA
melatonin,B01AA
calcium citrate + vit d,B01AA
cranberry extract-vit c 4200/40 mg,B01AA
fentanyl,B01AA
warf,B01AA
heparin,B01AA
coenzyme q10  200mg,B01AA
sutent,B01AA
levemir flexpen,B01AA
insulin detemir,B01AA
hydromorphone solution,B01AA
d5w,B01AA
vancomycin hcl,B01AA
betamethasone sodium phos/acet,B01AA
syringe (iv room),B01AA
lansoprazole,B01AA
heparin sodium,B01AA
insulin,B01AA
amoxapine,B01AA
neomycin-polymyxin-gramicidin,B01AA
metoprolol,B01AA
lialda,B01AA
levemir,B01AA
dexilant,B01AA
dexlansoprazole (dexilant),B01AA
vytorin 10-80,B01AA
benicar hct,B01AA
januvia,B01AA
bicalutamide,B01AA
lantus solostar,B01AA
humalog kwikpen,B01AA
lotronex,B01AA
carafate,B01AA
exelon,B01AA
efavirenz,J05AG
efavirenz oral soln,J05AG
naphazoline-pheniramine ophth. solution,R01AA
nap,R01AA
naphazoline-pheniramine ophth. solution,R01AB
nap,R01AB
naphazoline-pheniramine ophth. solution,S01GA
nap,S01GA
naphazoline-pheniramine ophth. solution,D04AA
nap,D04AA
naphazoline-pheniramine ophth. solution,R06AB
nap,R06AB
betaxolol ophth susp  0.25%,C07AB
betoptic s,C07AB
betaxolol ophth susp  0.25%,S01ED
betoptic s,S01ED
patanol,R01AC
olopatadine hcl,R01AC
olopatadine,R01AC
patanol,S01GX
olopatadine hcl,S01GX
olopatadine,S01GX
brinzolamide,S01EC
azopt,S01EC
cyclopentolate-phenylephrine,S01FA
cyclopentolate-phenylephrine,C01CA
cyclopentolate-phenylephrine,R01AA
cyclopentolate-phenylephrine,R01AB
cyclopentolate-phenylephrine,R01BA
cyclopentolate-phenylephrine,S01FB
cyclopentolate-phenylephrine,S01GA
cyclopentolate 1%,S01FA
potassium chloride,S01FA
sodium chloride,S01FA
neo*iv*caffeine citrate,S01FA
syringe (neonatal),S01FA
d10w,S01FA
neomycin-polymyxin-dexameth ophth. oint,A01AC
neomycin-polymyxin-dexameth ophth. oint,C05AA
neomycin-polymyxin-dexameth ophth. oint,D07AB
neomycin-polymyxin-dexameth ophth. oint,D07XB
neomycin-polymyxin-dexameth ophth. oint,D10AA
neomycin-polymyxin-dexameth ophth. oint,H02AB
neomycin-polymyxin-dexameth ophth. oint,R01AD
neomycin-polymyxin-dexameth ophth. oint,S01BA
neomycin-polymyxin-dexameth ophth. oint,S01CB
neomycin-polymyxin-dexameth ophth. oint,S02BA
neomycin-polymyxin-dexameth ophth. oint,S03BA
neomycin-polymyxin-dexameth ophth. oint,A01AB
neomycin-polymyxin-dexameth ophth. oint,A07AA
neomycin-polymyxin-dexameth ophth. oint,B05CA
neomycin-polymyxin-dexameth ophth. oint,D06AX
neomycin-polymyxin-dexameth ophth. oint,J01GB
neomycin-polymyxin-dexameth ophth. oint,R02AB
neomycin-polymyxin-dexameth ophth. oint,S01AA
neomycin-polymyxin-dexameth ophth. oint,S02AA
neomycin-polymyxin-dexameth ophth. oint,S03AA
neomycin-polymyxin-dexameth ophth. oint,J01XB
tobramycin fortified ophth. soln.,J01GB
tobramycin 0.3% ophth soln,J01GB
vancomycin fortified opthalmic,J01GB
tobramycin,J01GB
tobramycin fortified ophth. soln.,S01AA
tobramycin 0.3% ophth soln,S01AA
vancomycin fortified opthalmic,S01AA
tobramycin,S01AA
tobramycin 0.3% ophth ointment,J01GB
tobramycin 0.3% ophth ointment,S01AA
tobramycin-dexamethasone ophth susp,J01GB
tobramycin-dexamethasone ophth susp,S01AA
tobramycin-dexamethasone ophth susp,A01AC
tobramycin-dexamethasone ophth susp,C05AA
tobramycin-dexamethasone ophth susp,D07AB
tobramycin-dexamethasone ophth susp,D07XB
tobramycin-dexamethasone ophth susp,D10AA
tobramycin-dexamethasone ophth susp,H02AB
tobramycin-dexamethasone ophth susp,R01AD
tobramycin-dexamethasone ophth susp,S01BA
tobramycin-dexamethasone ophth susp,S01CB
tobramycin-dexamethasone ophth susp,S02BA
tobramycin-dexamethasone ophth susp,S03BA
tobramycin-dexamethasone ophth oint,J01GB
difluprednate,J01GB
tobramycin-dexamethasone ophth oint,S01AA
difluprednate,S01AA
tobramycin-dexamethasone ophth oint,A01AC
difluprednate,A01AC
tobramycin-dexamethasone ophth oint,C05AA
difluprednate,C05AA
tobramycin-dexamethasone ophth oint,D07AB
difluprednate,D07AB
tobramycin-dexamethasone ophth oint,D07XB
difluprednate,D07XB
tobramycin-dexamethasone ophth oint,D10AA
difluprednate,D10AA
tobramycin-dexamethasone ophth oint,H02AB
difluprednate,H02AB
tobramycin-dexamethasone ophth oint,R01AD
difluprednate,R01AD
tobramycin-dexamethasone ophth oint,S01BA
difluprednate,S01BA
tobramycin-dexamethasone ophth oint,S01CB
difluprednate,S01CB
tobramycin-dexamethasone ophth oint,S02BA
difluprednate,S02BA
tobramycin-dexamethasone ophth oint,S03BA
difluprednate,S03BA
*nf* ciprofloxacin 0.3% ophth oint,J01MA
*nf* ciprofloxacin 0.3% ophth oint,S01AE
*nf* ciprofloxacin 0.3% ophth oint,S02AA
*nf* ciprofloxacin 0.3% ophth oint,S03AA
ciprofloxacin ophth soln,J01MA
ciprofloxacin ophth soln,S01AE
ciprofloxacin ophth soln,S02AA
ciprofloxacin ophth soln,S03AA
apraclonidine 0.5%,S01EA
pilopine hs,S01EA
tetracaine hcl,C05AD
tetracaine hcl,D04AB
tetracaine hcl,N01BA
tetracaine hcl,S01HA
balanced salt opth. soln,A12AA
balanced salt opth. soln,B05XA
balanced salt opth. soln,G04BA
balanced salt opth. soln,B05CB
balanced salt opth. soln,A12CC
balanced salt opth. soln,A12BA
balanced salt opth. soln,A12CA
moxifloxacin,J01MA
vigamox,J01MA
amphotericin b (bulk),J01MA
lotemax,J01MA
omnipred,J01MA
nevanac,J01MA
moxifloxacin,S01AE
vigamox,S01AE
amphotericin b (bulk),S01AE
lotemax,S01AE
omnipred,S01AE
nevanac,S01AE
miconazole powder 2%,A01AB
olmesartan/hydrochlorothiazide,A01AB
micon,A01AB
miconazole powder 2%,A07AC
olmesartan/hydrochlorothiazide,A07AC
micon,A07AC
miconazole powder 2%,D01AC
olmesartan/hydrochlorothiazide,D01AC
micon,D01AC
miconazole powder 2%,G01AF
olmesartan/hydrochlorothiazide,G01AF
micon,G01AF
miconazole powder 2%,J02AB
olmesartan/hydrochlorothiazide,J02AB
micon,J02AB
miconazole powder 2%,S02AA
olmesartan/hydrochlorothiazide,S02AA
micon,S02AA
terbinafine 1% cream,D01AE
terbinafine 1% cream,D01BA
scopolamine patch,A04AD
amiodarone hcl,A04AD
epinephrine,A04AD
d5w,A04AD
ns        (glass bottle),A04AD
phenytoin sodium,A04AD
iso-osmotic dextrose,A04AD
scopolamine patch,N05CM
amiodarone hcl,N05CM
epinephrine,N05CM
d5w,N05CM
ns        (glass bottle),N05CM
phenytoin sodium,N05CM
iso-osmotic dextrose,N05CM
scopolamine patch,S01FA
amiodarone hcl,S01FA
epinephrine,S01FA
d5w,S01FA
ns        (glass bottle),S01FA
phenytoin sodium,S01FA
iso-osmotic dextrose,S01FA
methenamine hippurate,J01XX
rifampin,J04AB
*nf* sunitinib,L01XE
maraviroc,J05AX
sunitinib,L01XE
amlodipine,C08CA
amlodipine besylate,C08CA
colesevelam,C08CA
levofloxacin,C08CA
dextrose 5%,C08CA
avodart,C08CA
insulin pump,C08CA
*nf* nifedipine xl,C08CA
procardia xl,C08CA
azithromycin,J01FA
allegra-d 24 hour,J01FA
azithromycin,S01AA
allegra-d 24 hour,S01AA
neo*po*azithromycin,J01FA
neo*po*azithromycin,S01AA
azithromycin ,J01FA
azithromycin ,S01AA
sildenafil,G04BE
bosentan,G04BE
reva,G04BE
rev,G04BE
viagra,G04BE
sildenafil citrate,G04BE
*nf* sildenafil citrate,G04BE
dofetilide,C01BD
phenytoin infatab,N03AB
phenytoin (suspension),N03AB
phenytoin,N03AB
phenytoin sodium extended,N03AB
phenytoin ,N03AB
dilantin ,N03AB
dilantin,N03AB
dilantin infatabs,N03AB
dilan,N03AB
dil,N03AB
ns        (glass bottle),N03AB
phenytoin sodium,N03AB
phenytoi,N03AB
phenytoin chewtabs,N03AB
dila,N03AB
phen,N03AB
phenyto,N03AB
atorvastatin,C10AA
*nf* bimatoprost (lumigan),C10AA
avalide,C10AA
lipitor,C10AA
insulin levemir,C10AA
cefazolin,C10AA
iso-osmotic dextrose,C10AA
dronedarone,C10AA
insulin pump,C10AA
phenylephrine,C10AA
lidocaine 1% p.f.,C10AA
metoprolol,C10AA
potassium chloride,C10AA
chantix,C10AA
budesonide,C10AA
nitroglycerin,C10AA
furosemide,C10AA
midazolam,C10AA
fentanyl citrate,C10AA
syringe (neonatal),C10AA
hydralazine,C10AA
symbicort,C10AA
zarontin,N03AD
ethosuximide,N03AD
phenelzine sulfate,N06AF
dilantin extended,N03AB
phenyt,N03AB
phenytoin sodium (iv),N03AB
nitroglycerin sl,C01DA
nitroglycerin sl,C05AE
quinapril,C09AA
avodart,C09AA
insulin pump,C09AA
gabapentin,N03AX
bextra,N03AX
vancomycin hcl,N03AX
iso-osmotic dextrose,N03AX
carafate,N03AX
cryselle (28),N03AX
lyrica,N03AX
pregabalin,N03AX
*nf* pregabalin,N03AX
pantoprazole sodium,N03AX
ns,N03AX
pregabalin oral solution,N03AX
gabapentin (liquid),N03AX
neurontin,N03AX
valproate sodium,N03AG
valproic acid,N03AG
paricalcitol,H05BX
zemplar,H05BX
ritonavir (oral solution),J05AE
ritonavir,J05AE
leuprolide acetate,L02AE
lopinavir-ritonavir (oral soln),J05AR
ritonavir/lopinavir,J05AR
lopinavir-ritonavir,J05AR
lopinavir-ritonavir (oral soln),J05AE
ritonavir/lopinavir,J05AE
lopinavir-ritonavir,J05AE
humira,L04AB
cisatracurium besylate,M03AC
cisatracurium,M03AC
levothyroxine sodium,H03AA
levo,H03AA
nexium,H03AA
levoth,H03AA
levothyroxine,H03AA
fenofibrate,C10AB
*nf* fenofibrate,C10AB
tricor,C10AB
fenofibrate nanocrystallized,C10AB
fenofibrate micronized,C10AB
fenofibric acid,C10AB
lactaid fast act,H03AA
synth,H03AA
levoxyl,H03AA
multaq (dronedarone),H03AA
dronedarone,H03AA
metoprolol tartrate,H03AA
kaletra,J05AR
kaletra,J05AE
lactaid,H03AA
potassium chloride,H03AA
desmopressin acetate,H01BA
ddavp,H01BA
enoxaparin sodium,B01AB
lovenox,B01AB
uroxatral,B01AB
dobutamine hcl,B01AB
enoxaparin,B01AB
albuterol inhaler,B01AB
ondansetron,B01AB
desmopressin ,H01BA
desmopressin nasal,H01BA
desmopressi,H01BA
rilutek,N07XX
riluzole,N07XX
cyclosporine (sandimmune),L04AD
cyclosporine,L04AD
cyclosporine (sandimmune),S01XA
cyclosporine,S01XA
terbinafine,D01AE
terbinafine,D01BA
octreotide acetate,H01CB
nexium,H01CB
cyclosporine modified (neoral),L04AD
cyclosporine (neoral) modified,L04AD
neoral,L04AD
travasol 4.25% w/ dextrose 5%,L04AD
multivitamin 12,L04AD
flarex,L04AD
cyclosporine ,L04AD
cyclosporine modified (neoral),S01XA
cyclosporine (neoral) modified,S01XA
neoral,S01XA
travasol 4.25% w/ dextrose 5%,S01XA
multivitamin 12,S01XA
flarex,S01XA
cyclosporine ,S01XA
methylprednisolone na succ.,L04AD
d5w,L04AD
cyclo,L04AD
syringe (iv room),L04AD
iso-osmotic dextrose,L04AD
neoral capules,L04AD
neoral *study medication*,L04AD
neoral study med (*ind*),L04AD
neoral* study medication*,L04AD
methylprednisolone na succ.,S01XA
d5w,S01XA
cyclo,S01XA
syringe (iv room),S01XA
iso-osmotic dextrose,S01XA
neoral capules,S01XA
neoral *study medication*,S01XA
neoral study med (*ind*),S01XA
neoral* study medication*,S01XA
femara,L02BG
letrozole,L02BG
pantoprazole sodium,L04AD
ns,L04AD
acetazolamide sodium,L04AD
*nf* basiliximab,L04AD
vancomycin hcl,L04AD
iso-osmotic sodium chloride,L04AD
famotidine,L04AD
cyclosporine modified,L04AD
pantoprazole sodium,S01XA
ns,S01XA
acetazolamide sodium,S01XA
*nf* basiliximab,S01XA
vancomycin hcl,S01XA
iso-osmotic sodium chloride,S01XA
famotidine,S01XA
cyclosporine modified,S01XA
rivastigmine,N06DA
exelon,N06DA
comtan,N04BX
entacapone,N04BX
*nf* entacapone,N04BX
*nf* basiliximab,L04AC
basiliximab,L04AC
simulect,L04AC
vivelle-dot,G03CA
vivelle,G03CA
*nf* estradiol transdermal patch,G03CA
estradiol,G03CA
nateglinide,A10BX
valsartan,C09CA
myfortic,L04AA
*nf* mycophenolate sodium,L04AA
mycophenolate ,L04AA
mycophenolate sodium,L04AA
zoledronic acid,M05BA
imatinib mesylate,L01XE
lotrel,C08CA
lotrel,C09AA
gleevec,L01XE
*nf* imatinib mesylate,L01XE
imatinib oral suspension,L01XE
imatinib ,L01XE
imatinib,L01XE
exjade,V03AC
*nf* deferasirox,V03AC
tobramycin in 0.225 % nacl,J01GB
tobramycin inhalation soln,J01GB
tobramycin in 0.225 % nacl,S01AA
tobramycin inhalation soln,S01AA
betamethasone sodium phos/acet,A07EA
betamethasone acet & sod phos,A07EA
betamethasone sodium phos/acet,C05AA
betamethasone acet & sod phos,C05AA
betamethasone sodium phos/acet,D07AC
betamethasone acet & sod phos,D07AC
betamethasone sodium phos/acet,D07XC
betamethasone acet & sod phos,D07XC
betamethasone sodium phos/acet,H02AB
betamethasone acet & sod phos,H02AB
betamethasone sodium phos/acet,R01AD
betamethasone acet & sod phos,R01AD
betamethasone sodium phos/acet,R03BA
betamethasone acet & sod phos,R03BA
betamethasone sodium phos/acet,S01BA
betamethasone acet & sod phos,S01BA
betamethasone sodium phos/acet,S01CB
betamethasone acet & sod phos,S01CB
betamethasone sodium phos/acet,S02BA
betamethasone acet & sod phos,S02BA
betamethasone sodium phos/acet,S03BA
betamethasone acet & sod phos,S03BA
betamethasone dipro 0.05% cream,A07EA
diprosone,A07EA
betamethasone dipro 0.05% cream,C05AA
diprosone,C05AA
betamethasone dipro 0.05% cream,D07AC
diprosone,D07AC
betamethasone dipro 0.05% cream,D07XC
diprosone,D07XC
betamethasone dipro 0.05% cream,H02AB
diprosone,H02AB
betamethasone dipro 0.05% cream,R01AD
diprosone,R01AD
betamethasone dipro 0.05% cream,R03BA
diprosone,R03BA
betamethasone dipro 0.05% cream,S01BA
diprosone,S01BA
betamethasone dipro 0.05% cream,S01CB
diprosone,S01CB
betamethasone dipro 0.05% cream,S02BA
diprosone,S02BA
betamethasone dipro 0.05% cream,S03BA
diprosone,S03BA
eptifibatide,B01AC
posaconazole suspension,J02AC
posaconazole,J02AC
astepro,J02AC
peg-intron,L03AB
ribavirin,J05AP
avelox,J01MA
avelox,S01AE
metformin,A10BA
metformin (glucophage),A10BA
glimepiride (amaryl),A10BA
byetta,A10BA
nifedipine (bulk),A10BA
glucophage xr,A10BA
glyburide/metformin (2.5mg-500mg),A10BB
glucovance (2.5mg-500mg),A10BB
glyburide/metformin (2.5mg-500mg),A10BA
glucovance (2.5mg-500mg),A10BA
glucovance (5mg-500mg),A10BB
glyburide/metformin (5mg-500mg),A10BB
glucovance (5mg-500mg),A10BA
glyburide/metformin (5mg-500mg),A10BA
didanosine ec,J05AF
dolasetron mesylate,A04AA
anzemet,A04AA
zofran,A04AA
ns,A04AA
dolasetron mesylate i.v.,A04AA
*nf* dolasetron mesylate,A04AA
arava,L04AA
leflunomide,L04AA
lantus,A10AE
sw,A10AE
insulin glargine,A10AE
glargine,A10AE
apri,A10AE
tacrolimus,A10AE
betaxolol hcl,A10AE
nitroglycerin,A10AE
nitroprusside sodium,A10AE
phenylephrine hcl,A10AE
potassium chloride,A10AE
soln.,A10AE
d5w,A10AE
ns,A10AE
uroxatral,A10AE
jolessa,A10AE
ethyl chloride,A10AE
exenatide,A10AE
apidra,A10AB
moexipril hcl,C09AA
moexipril,C09AA
lamotrigine,N03AX
fluocinonide 0.05% cream,C05AA
fluocinonide 0.05% cream,D07AC
fluocinonide 0.05% ointment,C05AA
fluocinonide 0.05% ointment,D07AC
loperamide,A07DA
viibryd,N03AX
amnesteem,N03AX
piroxicam,M01AC
piroxicam,M02AA
piroxicam,S01BC
pravastatin,C10AA
penicillin v potassium,J01CE
dicloxacillin,J01CF
alendronate sodium,M05BA
lamivudine-zidovudine (combivir),J05AF
lamivudine-zidovudine (combivir),J05AR
cabergoline,G02CB
cabergoline,N04BC
metformin xr (glucophage xr),A10BA
kytril,A04AA
mexiletine,C01BB
mexiletine hcl,C01BB
acyclovir,D06BB
acyclovir,J05AB
acyclovir,S01AD
glyburi,A10BB
haloperidol,N05AD
haloperidol lactate,N05AD
rimantadine,J05AC
pyridostigmine bromide,N07AA
fludrocortisone acetate,H02AA
insulin pump,H02AA
mirapex,H02AA
milk of magnesia,A02AA
propofol diprivan,A02AA
pulmicort,A02AA
insulin,A02AA
xibrom,A02AA
milk of magnesia,G04BX
propofol diprivan,G04BX
pulmicort,G04BX
insulin,G04BX
xibrom,G04BX
diphenhydramine,D04AA
diphenhydramine hcl,D04AA
benadryl allergy,D04AA
haloperidol,D04AA
diphenhydramine,R06AA
diphenhydramine hcl,R06AA
benadryl allergy,R06AA
haloperidol,R06AA
docusate sodium (liquid),A06AA
docusate sodium,A06AA
docusate,A06AA
docusate ,A06AA
furosemide,A06AA
docusate sodiu,A06AA
docusa,A06AA
docusat,A06AA
zelnorm (tegaserod),A06AA
docu,A06AA
nuvaring,A06AA
insulin pump,A06AA
docusate sodi,A06AA
propofol,A06AA
docusate sod,A06AA
heparin,A06AA
docus,A06AA
fentanyl citrate,A06AA
docusate so,A06AA
docusate s,A06AA
norethindrone acetate,A06AA
bosentan,A06AA
meperidine,A06AA
mannitol 20%,A06AA
bicitra,A09AB
sodium citrate/citric acid,A09AB
bicitra,B05CB
sodium citrate/citric acid,B05CB
amantadine syrup,N04BB
amantadine,N04BB
fluphenazine,N05AB
acetaminophen,N02BE
acetaminophen (liquid),N02BE
acetami,N02BE
lotemax,N02BE
alrex,N02BE
acetaminophen ,N02BE
acetamin,N02BE
acetaminophe,N02BE
ace,N02BE
iquix,N02BE
propofol,N02BE
insulin pump (self administering medication),N02BE
midazolam,N02BE
fentanyl citrate,N02BE
fentanyl,N02BE
phenylephrine,N02BE
acetaminophen (rectal),N02BE
guaifenesin,R05CA
guai,R05CA
mucinex,R05CA
albuterol 0.083% neb soln,R05CA
robitussin chest congestion,R05CA
fluoxymesterone,R05CA
patanol,R05CA
azopt,R05CA
aluminum-magnesium hydrox.-simethicone,A02AB
aluminum,A02AB
maalox,A02AB
orap,A02AB
dasatinib,A02AB
aluminum-magnesium hydrox.-simethicone,A02AA
aluminum,A02AA
maalox,A02AA
orap,A02AA
dasatinib,A02AA
aluminum-magnesium hydrox.-simethicone,G04BX
aluminum,G04BX
maalox,G04BX
orap,G04BX
dasatinib,G04BX
guaifenesin-codeine phosphate,R05DA
guaifenesin-codeine phosphate,R05CA
prevident mint gel 1.1%,A01AA
sodium fluoride (dental gel),A01AA
prevident mint gel 1.1%,A12CD
sodium fluoride (dental gel),A12CD
lacosamide,N03AX
lacosamide *nf*,N03AX
vimpat,N03AX
nicotine patch,N07BA
zegerid otc,N07BA
nicotine lozenge,N07BA
chloroquine,P01BA
methocarbamol,M03BA
symbicort,M03BA
phenobarbital,N03AA
propylthiouracil,H03BA
primidone,N03AA
acetaminophen-caff-butalbital,N02BE
fioricet,N02BE
calcium 500+d,N02BE
butalbital-acetaminophen-caff,N02BE
acetaminophen-caff-butalbital,N06BC
fioricet,N06BC
calcium 500+d,N06BC
butalbital-acetaminophen-caff,N06BC
metoprolol tartrate,C07AB
code ats99 study med,C07AB
code lut/zea03 study med,C07AB
code epa/dha 26 study med,C07AB
norepinephrine,C07AB
phenylephrine,C07AB
cephalexin,J01DB
triamcinolone acetonide 0.025% cream,A01AC
triamcinolone acetonide 0.025% cream,C05AA
triamcinolone acetonide 0.025% cream,D07AB
triamcinolone acetonide 0.025% cream,D07XB
triamcinolone acetonide 0.025% cream,H02AB
triamcinolone acetonide 0.025% cream,R01AD
triamcinolone acetonide 0.025% cream,R03BA
triamcinolone acetonide 0.025% cream,S01BA
triamcinolone acetonide 0.1% cream,A01AC
triamcinolone 0.1% cream,A01AC
triamcinolone acetonide 0.1% cream,C05AA
triamcinolone 0.1% cream,C05AA
triamcinolone acetonide 0.1% cream,D07AB
triamcinolone 0.1% cream,D07AB
triamcinolone acetonide 0.1% cream,D07XB
triamcinolone 0.1% cream,D07XB
triamcinolone acetonide 0.1% cream,H02AB
triamcinolone 0.1% cream,H02AB
triamcinolone acetonide 0.1% cream,R01AD
triamcinolone 0.1% cream,R01AD
triamcinolone acetonide 0.1% cream,R03BA
triamcinolone 0.1% cream,R03BA
triamcinolone acetonide 0.1% cream,S01BA
triamcinolone 0.1% cream,S01BA
triamcinolone 0.1% ointment,A01AC
triamcinolone 0.1% ointment,C05AA
triamcinolone 0.1% ointment,D07AB
triamcinolone 0.1% ointment,D07XB
triamcinolone 0.1% ointment,H02AB
triamcinolone 0.1% ointment,R01AD
triamcinolone 0.1% ointment,R03BA
triamcinolone 0.1% ointment,S01BA
triamcinolone acetonide 0.025% ointment,A01AC
triamcinolone acetonide 0.025% ointment,C05AA
triamcinolone acetonide 0.025% ointment,D07AB
triamcinolone acetonide 0.025% ointment,D07XB
triamcinolone acetonide 0.025% ointment,H02AB
triamcinolone acetonide 0.025% ointment,R01AD
triamcinolone acetonide 0.025% ointment,R03BA
triamcinolone acetonide 0.025% ointment,S01BA
triamcinolone acetonide 0.1% ointment,A01AC
triamcinolone acetonide 0.1% ointment,C05AA
triamcinolone acetonide 0.1% ointment,D07AB
triamcinolone acetonide 0.1% ointment,D07XB
triamcinolone acetonide 0.1% ointment,H02AB
triamcinolone acetonide 0.1% ointment,R01AD
triamcinolone acetonide 0.1% ointment,R03BA
triamcinolone acetonide 0.1% ointment,S01BA
nystatin ointment,A07AA
nystatin (topical),A07AA
nystatin cream,A07AA
acetaminophen,A07AA
nystatin ointment,D01AA
nystatin (topical),D01AA
nystatin cream,D01AA
acetaminophen,D01AA
nystatin ointment,G01AA
nystatin (topical),G01AA
nystatin cream,G01AA
acetaminophen,G01AA
bacitracin ointment,D06AX
soma,D06AX
hctz/triamterene (maxzide),D06AX
iodosorb,D06AX
bacitracin ointment,J01XX
soma,J01XX
hctz/triamterene (maxzide),J01XX
iodosorb,J01XX
bacitracin ointment,R02AB
soma,R02AB
hctz/triamterene (maxzide),R02AB
iodosorb,R02AB
"lidocaine 1%/epi 1::100,000",D06AX
potassium chloride,D06AX
"lidocaine 1%/epi 1::100,000",J01XX
potassium chloride,J01XX
"lidocaine 1%/epi 1::100,000",R02AB
potassium chloride,R02AB
neomycin-polymyxin-bacitracin,D06AX
neomycin-polymyxin-bacitracin,J01XX
neomycin-polymyxin-bacitracin,R02AB
neomycin-polymyxin-bacitracin,A01AB
neomycin-polymyxin-bacitracin,A07AA
neomycin-polymyxin-bacitracin,B05CA
neomycin-polymyxin-bacitracin,J01GB
neomycin-polymyxin-bacitracin,S01AA
neomycin-polymyxin-bacitracin,S02AA
neomycin-polymyxin-bacitracin,S03AA
neomycin-polymyxin-bacitracin,J01XB
hydrocortisone cream 0.5%,A01AC
hydrocortisone cream 0.5%,A07EA
hydrocortisone cream 0.5%,C05AA
hydrocortisone cream 0.5%,D07AA
hydrocortisone cream 0.5%,D07XA
hydrocortisone cream 0.5%,H02AB
hydrocortisone cream 0.5%,S01BA
hydrocortisone cream 0.5%,S01CB
hydrocortisone cream 0.5%,S02BA
hydrocortisone cream 1%,A01AC
hydrocortisone cream 1%,A07EA
hydrocortisone cream 1%,C05AA
hydrocortisone cream 1%,D07AA
hydrocortisone cream 1%,D07XA
hydrocortisone cream 1%,H02AB
hydrocortisone cream 1%,S01BA
hydrocortisone cream 1%,S01CB
hydrocortisone cream 1%,S02BA
hydrocortisone oint 0.5%,A01AC
hydrocortisone oint 0.5%,A07EA
hydrocortisone oint 0.5%,C05AA
hydrocortisone oint 0.5%,D07AA
hydrocortisone oint 0.5%,D07XA
hydrocortisone oint 0.5%,H02AB
hydrocortisone oint 0.5%,S01BA
hydrocortisone oint 0.5%,S01CB
hydrocortisone oint 0.5%,S02BA
bacitracin-polymyxin ointment,D06AX
bacitracin-polymyxin ointment,J01XX
bacitracin-polymyxin ointment,R02AB
bacitracin-polymyxin ointment,A07AA
bacitracin-polymyxin ointment,J01XB
bacitracin-polymyxin ointment,S01AA
bacitracin-polymyxin ointment,S02AA
bacitracin-polymyxin ointment,S03AA
poly,D06AX
poly,J01XX
poly,R02AB
poly,A07AA
poly,J01XB
poly,S01AA
poly,S02AA
poly,S03AA
betamethasone valerate 0.1% cream,A07EA
betamethasone,A07EA
betamethasone valerate 0.1% cream,C05AA
betamethasone,C05AA
betamethasone valerate 0.1% cream,D07AC
betamethasone,D07AC
betamethasone valerate 0.1% cream,D07XC
betamethasone,D07XC
betamethasone valerate 0.1% cream,H02AB
betamethasone,H02AB
betamethasone valerate 0.1% cream,R01AD
betamethasone,R01AD
betamethasone valerate 0.1% cream,R03BA
betamethasone,R03BA
betamethasone valerate 0.1% cream,S01BA
betamethasone,S01BA
betamethasone valerate 0.1% cream,S01CB
betamethasone,S01CB
betamethasone valerate 0.1% cream,S02BA
betamethasone,S02BA
betamethasone valerate 0.1% cream,S03BA
betamethasone,S03BA
dibucaine,C05AD
dibucaine,D04AB
dibucaine,N01BB
dibucaine,S01HA
dibucaine,S02DA
nystatin,A07AA
mycostatin,A07AA
propofol,A07AA
acetaminophen (rectal),A07AA
rasagiline (azilect),A07AA
nystatin,D01AA
mycostatin,D01AA
propofol,D01AA
acetaminophen (rectal),D01AA
rasagiline (azilect),D01AA
nystatin,G01AA
mycostatin,G01AA
propofol,G01AA
acetaminophen (rectal),G01AA
rasagiline (azilect),G01AA
betamethasone dipro 0.05% oint,A07EA
betamethasone dipro 0.05% oint,C05AA
betamethasone dipro 0.05% oint,D07AC
betamethasone dipro 0.05% oint,D07XC
betamethasone dipro 0.05% oint,H02AB
betamethasone dipro 0.05% oint,R01AD
betamethasone dipro 0.05% oint,R03BA
betamethasone dipro 0.05% oint,S01BA
betamethasone dipro 0.05% oint,S01CB
betamethasone dipro 0.05% oint,S02BA
betamethasone dipro 0.05% oint,S03BA
betamethasone dipro 0.05% lot.,A07EA
betamethasone dipro 0.05% lot.,C05AA
betamethasone dipro 0.05% lot.,D07AC
betamethasone dipro 0.05% lot.,D07XC
betamethasone dipro 0.05% lot.,H02AB
betamethasone dipro 0.05% lot.,R01AD
betamethasone dipro 0.05% lot.,R03BA
betamethasone dipro 0.05% lot.,S01BA
betamethasone dipro 0.05% lot.,S01CB
betamethasone dipro 0.05% lot.,S02BA
betamethasone dipro 0.05% lot.,S03BA
fluocin,C05AA
fluocinolone 0.01% cream,C05AA
fluocinolone acetonide 0.01% cream,C05AA
fluocin,D07AC
fluocinolone 0.01% cream,D07AC
